relative_path,extension,size_bytes,status,contains_social_signal,contains_yard_signal,contains_shared_ads_id,recommended_action
google_apps_script_form_receiver.gs,.gs,9983,YARD: current project file,no,yes,no,Keep.
google_business_profile_buildout_plan.md,.md,2472,REVIEW: mentions Social only as boundary warning/reference,yes,yes,no,Allowed only in internal docs. Do not deploy as customer-facing content.
google_business_profile_current_status.md,.md,1762,YARD: current project file,no,yes,no,Keep.
google_business_profile_launch_package.md,.md,7718,REVIEW: mentions Social only as boundary warning/reference,yes,yes,no,Allowed only in internal docs. Do not deploy as customer-facing content.
hibachi-at-home-alhambra.html,.html,3538,YARD: current project file,no,yes,no,Keep.
hibachi-at-home-burbank.html,.html,3533,YARD: current project file,no,yes,no,Keep.
hibachi-at-home-glendale.html,.html,3501,YARD: current project file,no,yes,no,Keep.
hibachi-at-home-monterey-park.html,.html,3559,YARD: current project file,no,yes,no,Keep.
hibachi-at-home-pasadena.html,.html,3683,YARD: current project file,no,yes,no,Keep.
hibachi-at-home-rosemead.html,.html,3506,YARD: current project file,no,yes,no,Keep.
hibachi-at-home-san-gabriel.html,.html,3569,YARD: current project file,no,yes,no,Keep.
hibachi-at-home-temple-city.html,.html,3497,YARD: current project file,no,yes,no,Keep.
hibachi_birthday_market_report.md,.md,11438,YARD: current project file,no,yes,no,Keep.
index.html,.html,21646,YARD: current project file,no,yes,no,Keep.
launch_checklist.md,.md,2911,RESOLVED: Yard Ads tracking confirmed,yes,yes,yes,Resolved 2026-07-08: Yard uses AW-18300535067 in script.js; old AW-18105083874 is not used for Yard.
mobile-hibachi-arcadia.html,.html,3685,YARD: current project file,no,yes,no,Keep.
orange-county-hibachi-at-home.html,.html,3593,YARD: current project file,no,yes,no,Keep.
order_automation_plan.md,.md,1688,YARD: current project file,no,yes,no,Keep.
package.json,.json,152,YARD: current project file,no,no,no,Keep.
photo_usage_rules.md,.md,1927,REVIEW: mentions Social only as boundary warning/reference,yes,yes,no,Allowed only in internal docs. Do not deploy as customer-facing content.
robots.txt,.txt,75,YARD: current project file,no,yes,no,Keep.
script.js,.js,6788,YARD: current project file,no,yes,no,Keep.
scripts/build_sizzle_yard_leads_sheet.mjs,.mjs,5313,YARD: current project file,no,yes,no,Keep.
scripts/check_site.py,.py,1606,INTERNAL: neutral support file,no,no,no,Keep local unless later confirmed unnecessary.
site.webmanifest,.webmanifest,521,INTERNAL: neutral support file,no,no,no,Keep local unless later confirmed unnecessary.
sitemap.xml,.xml,1495,YARD: current project file,no,yes,no,Keep.
sizzle_yard_hibachi_validation_package.md,.md,11104,YARD: current project file,no,yes,no,Keep.
styles.css,.css,16750,YARD: current project file,no,no,no,Keep.
thank-you.html,.html,1795,YARD: current project file,no,yes,no,Keep.
tracking_plan.md,.md,2082,REVIEW: mentions Social only as boundary warning/reference,yes,yes,no,Allowed only in internal docs. Do not deploy as customer-facing content.
vercel.json,.json,435,YARD: current project file,no,no,no,Keep.
